ID;User_ID;Table_rank_2024_05;Person;net_worth_inBillionUSD_2024_05;Age_of_person_2024_05;Date
173;570;173;Yu Yong;11,7;63;2024-05-31
174;165;174;Andrew Beal;11,7;71;2024-05-31
175;207;175;Azim Premji;11,6;78;2024-05-31
176;158;176;Judy Love  ;11,6;86;2024-05-31
177;611;177;David Velez;11,6;42;2024-05-31
178;211;178;Ivan Glasenberg;11,6;67;2024-05-31
179;149;179;Michael Rubin;11,5;51;2024-05-31
180;230;180;Hasso Plattner  ;11,5;80;2024-05-31
181;232;181;Manuel Villar;11,4;74;2024-05-31
182;120;182;Goh Cheng Liang;11,3;96;2024-05-31
183;163;183;Sky Xu;11,2;40;2024-05-31
184;2621;184;Robert Kraft;11,1;82;2024-05-31
185;199;185;Ernesto Bertarelli;11,1;58;2024-05-31
186;384;186;Melinda French Gates;11,1;59;2024-05-31
187;160;187;Donald Newhouse;11;94;2024-05-31
188;433;188;Antony Ressler;11;63;2024-05-31
189;153;189;Mikhail Prokhorov;11;59;2024-05-31
190;265;190;Nancy Walton Laurie;10,9;73;2024-05-31
191;305;191;Harry Stine;10,9;82;2024-05-31
192;374;192;John Tu;10,8;82;2024-05-31
193;126;193;Lui Che Woo;10,8;95;2024-05-31
194;372;194;David Sun;10,8;72;2024-05-31
195;161;195;Marcel Herrmann Telles;10,8;74;2024-05-31
196;152;196;Anthony Pratt;10,7;64;2024-05-31
197;481;197;Mat Ishbia;10,7;44;2024-05-31
198;162;198;Suleiman Kerimov  ;10,7;58;2024-05-31
199;259;199;Patrick Ryan;10,7;87;2024-05-31
200;166;200;Mike Cannon-Brookes;10,7;44;2024-05-31
201;170;201;Viktor Rashnikov;10,6;75;2024-05-31
202;368;202;Xavier Niel;10,6;56;2024-05-31
203;235;203;Ann Walton Kroenke;10,6;75;2024-05-31
204;188;204;Friedhelm Loh;10,5;77;2024-05-31
205;378;205;Dan Cathy;10,5;71;2024-05-31
206;379;205;Trudy Cathy White;10,5;68;2024-05-31
207;377;205;Bubba Cathy;10,5;70;2024-05-31
208;312;208;Terry Gou;10,5;73;2024-05-31
209;416;209;Sunil Mittal;10,5;66;2024-05-31
210;115;210;Charoen Sirivadhanabhakdi;10,5;80;2024-05-31
211;257;211;Leonid Fedun;10,5;68;2024-05-31
212;208;212;Charles Schwab;10,4;86;2024-05-31
213;197;213;Vincent Bollore  ;10,4;72;2024-05-31
214;174;214;Scott Farquhar;10,3;44;2024-05-31
215;209;215;Eric Smidt;10,3;64;2024-05-31
216;529;216;Alexander Gerko;10,3;44;2024-05-31
217;147;217;Thomas Struengmann  ;10,3;74;2024-05-31
218;146;217;Andreas Struengmann  ;10,3;74;2024-05-31
219;309;219;Enrique Razon jr;10,2;64;2024-05-31
220;228;220;Graeme Hart;10,2;68;2024-05-31
221;266;221;Jay Y. Lee;10,1;55;2024-05-31
222;167;222;Carl Cook;10,1;61;2024-05-31
223;144;223;Stephen Ross;10,1;84;2024-05-31
