ID;User_ID;Rank_2024_01;Person;net_worth_in_BillionUSD_2024_01;Age_of_person_2024_01;
191;162;191;Judy Love and family;10,2;86;
192;192;192;Lei Jun;10,2;54;
193;146;193;Robert Kuok;10,1;100;
194;177;194;Georg Schaeffler;10,1;59;
195;147;195;Stephen Ross;10,1;83;
196;155;196;Anthony Pratt;10,1;63;
197;332;197;Marc Benioff;10,1;59;
198;202;198;Vincent Bollore and family;10,1;71;
199;206;199;Brian Chesky;10,0;42;
200;440;200;Antony Ressler;10,0;63;
201;183;201;Liu Yongxing;10,0;75;
202;199;202;Pamela Mars;10,0;63;
203;200;202;Valerie Mars;10,0;65;
204;198;202;Marijke Mars;10,0;59;
205;201;202;Victoria Mars;10,0;67;
206;211;206;John Malone;10,0;82;
207;209;207;Antonia Axson Johnson and family;9,9;80;
208;305;208;James Goodnight;9,9;81;
209;180;209;Quek Leng Chan;9,9;82;
210;631;210;Mangal Prabhat Lodha;9,9;68;
211;263;211;Bernard Marcus;9,9;94;
212;154;212;Viatcheslav Kantor;9,8;70;
213;237;213;Manuel Villar;9,8;74;
214;203;214;Jim Pattison;9,8;95;
215;121;215;Wei Jianjun and family;9,8;59;
216;3132;216;Jacques Saade Jr;9,8;52;
217;188;216;Tanya Saade Zeenny;9,8;56;
218;187;216;Rodolphe Saade;9,8;53;
219;193;219;Friedhelm Loh;9,8;77;
220;115;220;Huang Shilin;9,8;57;
221;143;221;Jiang Rensheng and family;9,8;70;
222;207;222;James Dyson;9,7;76;
223;500;223;Elizabeth Johnson;9,7;60;
224;159;224;Gong Hongjia and family;9,7;59;
225;240;225;Ann Walton Kroenke;9,6;75;
226;150;226;Thomas Struengmann and family;9,6;73;
227;149;226;Andreas Struengmann and family;9,6;73;
228;270;228;Nancy Walton Laurie;9,6;72;
229;191;229;Michael Kim;9,6;60;
230;160;230;Zhang Zhidong;9,6;52;
231;261;231;Nathan Blecharczyk;9,5;40;
232;204;232;Ernesto Bertarelli;9,5;58;
233;335;233;Jack Dangermond;9,5;78;
234;233;234;Graeme Hart;9,5;68;
235;243;235;Nicky Oppenheimer and family;9,4;78;
236;190;236;Andrei Guryev and family;9,4;63;
237;258;237;Tilman Fertitta;9,4;66;
238;218;238;Anthony von Mandl;9,4;73;
239;213;239;Charles Schwab;9,4;86;
240;210;240;Daniel Kretinsky;9,3;48;
241;620;241;David Velez and family;9,3;42;
242;579;242;Yu Yong;9,3;62;
243;217;243;Alexander Otto;9,2;56;
244;265;244;Robert F. Smith;9,2;61;
245;277;245;Li Shuirong and family;9,2;67;
246;264;246;Patrick Ryan;9,1;86;
247;423;247;Sunil Mittal;9,1;66;
248;236;248;Carlos Alberto Sicupira and family;9,1;76;
249;419;249;Tom Gores;9,1;59;
250;256;250;Laurent Dassault;9,1;70;
251;257;250;Thierry Dassault;9,1;66;
252;342;252;Jude Reyes;9,0;68;
253;341;252;J. Christopher Reyes;9,0;70;
254;262;254;Leonid Fedun;9,0;67;
255;208;255;Roman Abramovich and family;9,0;57;
256;259;256;Marie-Helene Habert-Dassault;9,0;58;
257;272;257;Ramzi Musallam;9,0;55;
258;339;258;Rohiqa Cyrus Mistry;9,0;56;
259;340;258;Shapoor Mistry;9,0;59;
260;283;260;Marie Besnier Beauvalot;8,9;43;
261;282;260;Jean-Michel Besnier;8,9;56;
262;293;262;Joe Gebbia;8,9;42;
263;275;263;Georg Stumpf;8,9;51;
264;229;264;Carrie Perrodo and family;8,9;73;
265;246;265;John Morris;8,9;75;
266;231;266;Michael Otto;8,8;80;
267;120;267;Xu Hang;8,8;61;
268;310;268;Nassef Sawiris;8,7;63;
269;570;269;Jimmy Haslam;8,7;69;
270;462;270;Robert Rowling;8,7;70;
271;350;271;Sandra Ortega Mera;8,7;55;
272;268;272;Orlando Bravo;8,7;53;
273;315;273;Enrique Razon Jr.;8,7;63;
274;220;274;Finn Rausing;8,6;69;
275;221;275;Jorn Rausing;8,6;64;
276;222;275;Kirsten Rausing;8,6;71;
277;248;277;Francine von Finck and family;8,5;;
278;297;278;Joseph Tsai;8,5;60;
279;216;279;Ivan Glasenberg;8,4;67;
280;281;280;Zhang Congyuan;8,4;76;
281;273;281;David Shaw;8,3;72;
282;250;282;German Khan;8,3;62;
283;306;283;Sri Prakash Lohia;8,3;71;
284;584;284;Andre Esteves;8,2;55;
285;337;285;Ralph Lauren;8,2;84;
286;299;286;Arthur Blank;8,2;81;
287;701;287;Elisabeth DeLuca and family;8,2;76;
288;488;288;Mat Ishbia;8,2;44;
289;442;289;Josh Harris;8,2;59;
290;249;290;Francis Choi;8,2;76;
291;260;291;Karel Komarek;8,1;54;
292;296;292;Leonard Stern;8,1;85;
293;309;293;Steven Rales;8,1;72;
294;3133;294;Paul Tudor Jones II;8,1;69;
295;365;295;Ken Fisher;8,1;73;
296;284;296;David Geffen;8,1;80;
297;459;297;Ken Langone;8,1;88;
298;267;298;Eric Wittouck;8,0;77;
299;344;299;Alejandro Bailleres Gual and family;8,0;63;
300;524;300;Rekha Jhunjhunwala;8,0;60;
301;382;301;Xu Shihui;7,9;66;
