"rank","r-name","r-name-sub","score","detail-box 10","detail-box 11","detail-box 12","detail-box 13","detail-box 14","detail-box 15"
"181","Ariel FLORES CHEUN","ARG","7.5","0","7.5","","","",""
"183","Taher ALHADDAD","KSA","7.2","4.2","3","","","",""
"184","Yaku Martin GALMEZ SUAREZ","PER","7","0","7","","","",""
"184","Juan Sebastian SANCHEZ MARTIN","COL","7","0","7","","","",""
"184","Jakub ZIETEK","POL","7","5","2","0","0","0",""
"187","Isaac LEFF","USA","6.5","6.5","","","","",""
"188","Timo OSSIG","GER","6","6","0","0","","",""
"188","Javier Leonardo ALIAGA NINA","BOL","6","6","","","","",""
"188","Tomás ARCE","COL","6","0","6","0","","",""
"188","Tyler BERGIN","AUS","6","6","","","","",""
"188","Nicolò SACRIPANTI","ITA","6","0","6","","","",""
"193","Mykyta MYRONENKO","UKR","5.83","0","5.83","0","0","0",""
"193","Sulaiman ALYAHYA","KSA","5.83","5.83","","","","",""
"193","Vin SUKAPANPOTHARAM","THA","5.83","5.83","","","","",""
"193","Chuluunbaatar MANDAKHBAYAR","MGL","5.83","5.83","","","","",""
"193","Aman VERMA","IND","5.83","5.83","0","","","",""
"193","Quitugua MICHAEL","GUM","5.83","5.83","","","","",""
"199","Ariel GONZALEZ","CRC","5","5","","","","",""
"199","Andrés ORTEGA FOSADO","MEX","5","5","0","0","","",""
"199","Gabriel LANCHEROS POVEDA","COL","5","5","","","","",""
"199","Linus QVARNSTRÖM","SWE","5","5","0","","","",""
"203","Tomas CASAS","CRC","4.5","4.5","","","","",""
"203","Jair Octavio MORENO MONTOYA","MEX","4.5","4.5","","","","",""
"205","Ilja AUERSPERG","AUT","4.4","4","0.4","0","0","",""
"206","Donovan VICENTE","GUM","4.2","4.2","","","","",""
"206","Christos SOFOKLEOUS","CYP","4.2","4.2","","","","",""
"206","Muhammad Akif Nukman NAZRILAZDIN","MAS","4.2","4.2","","","","",""
"206","Azat MAIKOTOV","KAZ","4.2","4.2","0","0","0","",""
"210","Kenu PUERTA WONG","PER","4","1","2","0","1","0",""
"210","Aj GOLDSMITH","NZL","4","4","0","","","",""
"210","Axel LINDFORS","FIN","4","4","0","","","",""
"213","Vishak OOMMEN SHANKER","IND","3.5","3.5","","","","",""
"214","Yousef FATANI","KSA","3","3","","","","",""
"214","Man Hou LAM","MAC","3","0","3","","","",""
"214","Alexandre NOËL","BEL","3","3","","","","",""
"214","Simon POTUCEK","CZE","3","3","0","","","",""
"214","Rolands RUGENS","LAT","3","3","","","","",""
"214","Owen PALMER","AUS","3","3","","","","",""
"214","Jonas UTELLI","SUI","3","3","","","","",""
"214","Romain SABATIER","SUI","3","3","0","0","","",""
"214","Lukas ZGRAGGEN","SUI","3","3","0","0","","",""
"214","Gianfranco DIAZ","VEN","3","3","","","","",""
"214","Tuukka SIMONEN","FIN","3","0","3","0","0","0",""
"225","Hossein FAMILROHANI","IRI","2","2","","","","",""
"225","Suraj SINGH","IND","2","2","","","","",""
"227","Joshua Kyri STELIOU","CYP","1","1","","","","",""
"227","García Fernández Del Valle PEDRO","MEX","1","1","","","","",""
"227","Mark SCANLON","IRL","1","1","0","","","",""
"227","Meritas BABILAS","LTU","1","1","0","0","0","",""
"227","Andrés VILA ANDRÉS","ESP","1","0","1","0","0","0",""
"227","Mohammad GARAKANI","IRI","1","1","0","","","",""
"233","Paul HAIDER","AUT","0.4","0.4","0","0","","",""
"233","Julian SCHRITTWIESER","AUT","0.4","0.4","0","","","",""
