"rank","r-name","r-name-sub","score","detail-box 4","detail-box 5","detail-box 6","detail-box 7","detail-box 8"
"76","Summer FRASER","AUS","86","86","","","",""
"78","Gayeong OH","KOR","85","9","33","39.5","3.5",""
"79","Liv EGLI","SUI","84","5.5","31.5","17","12","8"
"80","Hung Ying LEE","TPE","77","63","14","","",""
"81","Seuran HAN","KOR","73","73","","","",""
"82","Ronja Marlene WITT","GER","65","65","","","",""
"83","Ella FISHER","USA","62.5","37","25.5","","",""
"84","Judith CARROLL","AUS","62","62","","","",""
"85","Sunniva ØVRE-EIDE","NOR","60","0","6","4","0","50"
"86","Hannah MEUL","GER","58","48","10","","",""
"87","Yejoo SEO","KOR","56","56","","","",""
"88","Claudia GHISOLFI","ITA","55","0","7","10","38",""
"89","Magdalena KOMPEIN","AUT","54","42","6","0","6",""
"90","Momoka MIYAJIMA","JPN","50","15","35","","",""
"91","Mao NAKAMURA","JPN","48","48","","","",""
"91","Chunhua WU","CHN","48","48","","","",""
"91","Saray GARCIA","COL","48","48","","","",""
"94","Martina CASTRO","CHI","46","7","39","","",""
"94","Mai KOBAYASHI","JPN","46","8","8","30","",""
"96","Martina DEMMEL","GER","43.5","18","22.5","3","0","0"
"97","Molly THOMPSON-SMITH","GBR","43","43","","","",""
"98","Clea HALL","AUS","42","42","","","",""
"98","Vanessa Si Yinn TENG","SGP","42","19","15","8","",""
"100","Xuanzhen CHEN","CHN","40","13","27","","",""
"101","Valeri KREMER","ISR","39","9","30","0","",""
"101","Clotilde PFISTER","FRA","39","11","0","28","",""
"103","Connie BRIDGENS","GBR","38","0","38","","",""
"104","Nika POTAPOVA","UKR","35","0","5","19","0","11"
"104","Ai TAKEUCHI","JPN","35","35","","","",""
"106","Margarita AGAMBAYEVA","KAZ","34","25","9","","",""
"107","Mia GUTTENBERGER","GER","32","4","28","0","",""
"108","Marian Kiara Luna MICHERI","ARG","31","31","","","",""
"109","Julia BENACH ZUBERO","ESP","29.5","17","0","0","12.5",""
"110","Natalie GOH SIHUI","SGP","29","7","7","15","",""
"111","Katja DEBEVEC","SLO","27","27","","","",""
"112","Abi LANCE","AUS","26","26","","","",""
"113","Isabella GARCIA","COL","24","24","","","",""
"114","Nur KHALISHAH","INA","22.5","22.5","","","",""
"115","Lianet CASTILLO","VEN","22","13","3","2","4",""
"116","Svana BJARNASON","ISL","21","14","0","4","3","0"
"116","Ting-Chen YAO","TPE","21","15","0","6","",""
"116","Yubin HONG","KOR","21","21","","","",""
"119","Thea CAMERON","GBR","20","5","6","9","",""
"120","Lucia DÖRFFEL","GER","19","19","","","",""
"120","Zoe YI","USA","19","19","","","",""
"120","Zoé EGLI","SUI","19","0","19","","",""
"123","Sana OGURA","JPN","18","18","","","",""
"123","Savina NICELLI","ITA","18","0","11","7","",""
"123","Iris HEIKKINEN","FIN","18","13","2","3","",""
"123","Ema GALEOVA","CZE","18","12","0","6","",""
"127","Pernille TVEDT","NOR","17","12","2","0","0","3"
"128","Noé LOOSER","SUI","16","7","9","","",""
"129","Jisu CHOI","KOR","15.5","10.5","5","","",""
"130","Nur Diatul JANNAH","INA","14","6","8","","",""
"130","Rowaida ALERWI","KSA","14","9","5","","",""
"130","Lana GORIC","SLO","14","14","0","0","",""
"133","Sára ŠIMEKOVÁ","SVK","13","9","4","0","0",""
"133","Mar''atus SHOLEHA TRIANA PUTRI","INA","13","13","","","",""
"135","Si Wan LEI","MAC","12","11","1","","",""
"135","Emma BERNHARD","GER","12","7","0","5","",""
"135","Esti TWEG","AUS","12","12","","","",""
"138","Taqiyya NUR AZIZA","INA","11.33","11.33","","","",""
"139","Zihan HUANG","CHN","11","11","","","",""
"139","Shin Yee CHEN","MAS","11","11","","","",""
"139","Lana BONNAL","FRA","11","11","","","",""
"139","Ayala KEREM","ISR","11","5","6","","",""
"139","Quinn MASON","USA","11","4","7","","",""
"139","Anastasiia LUKASHYNA","UKR","11","11","0","0","",""
"139","Hei Kiu Heidi WONG","HKG","11","0","8","2","1",""
"146","Melissa Esther CHEN CHEN","PER","10.5","9","1.5","","",""
"147","Tegwen OATES","RSA","10","10","","","",""
"147","Joëlle NIEDERBERGER","SUI","10","10","0","0","",""
"149","Tseng-Shun WONG","HKG","9","0","7","2","",""
"149","Matilde CABEZAS","CHI","9","4","2","3","",""
"149","Lynnette KOH SIOK HENG","SGP","9","0","9","","",""
"149","Puntarika TUNYAVANICH","THA","9","0","9","","",""
"153","Yajun HUANG","CHN","8","8","","","",""
"153","Victoria YSRAEL","GUM","8","8","","","",""
"153","Kylie BAKER","GUM","8","8","","","",""
"153","Marketa JANOSOVA","CZE","8","8","0","0","",""
"153","Bianca DE MAGALHAES DE CASTRO","BRA","8","8","","","",""
"158","Yongshan HUANG","CHN","7","7","","","",""
"158","Najiha ZAHRA","INA","7","7","","","",""
"158","Karla ZRINSKI","CRO","7","7","","","",""
"158","Caiya TAYLOR AINSLIE","CAN","7","3","4","","",""
"158","Viola BATTISTELLA","ITA","7","0","0","7","",""
"163","Yun-Shan HSIEH","TPE","6","6","","","",""
"163","Olivia OGIER","USA","6","6","","","",""
"163","Molly DREHER","CAN","6","6","","","",""
"163","Lucía SEMPERE GONZÁLEZ","ESP","6","6","","","",""
"163","Sofia PARRADO","COL","6","2","4","","",""
"168","Anja SANTINI MIKULIĆ","CRO","5.5","5.5","","","",""
"169","Jiaxuan YANG","CHN","5","5","","","",""
"169","Shareen MOHD NASRAN","MAS","5","5","","","",""
"169","María Fernanda GONZÁLEZ RÁMIREZ","MEX","5","5","0","","",""
"169","Mariana HANGGI CORREIA","BRA","5","0","1","4","",""
"169","Emily Charlote PESCETTO BUDDEN","ESP","5","0","0","5","",""
"169","Valentina ARNOLDI","ITA","5","0","0","5","",""
"169","Louna DESHAYES","FRA","5","5","0","0","",""
"169","Emmelie CONDERS","NOR","5","5","0","","",""
"177","Sarah FEICHTENSCHLAGER","AUT","4","4","0","0","",""
"177","Tahani ALGOUHI","KSA","4","4","","","",""
"179","Paula TRAVERSO LEBRÓN","ESP","3","0","0","3","",""
"179","Caitlin BOUWER","RSA","3","3","","","",""
"179","Analía DOMÍNGUEZ CRISTERNA","MEX","3","1","2","","",""
"179","Sienna CHOW","CAN","3","3","","","",""
"179","Noor WITTE","NED","3","3","0","0","",""
"179","Kaïna VIVIAND","FRA","3","3","0","","",""
"185","Macarena Del Valle SANCHEZ","ARG","2","2","","","",""
"185","Melis PEHLIVAN","TUR","2","2","","","",""
"185","María José ESTRADA","MEX","2","0","2","","",""
"185","Mariam DE LA VEGA","MEX","2","2","","","",""
"189","Danai VALSAMIDI","GRE","1.5","1.5","0","","",""
"190","Maia Linda DAVIES","RSA","1","1","","","",""
"190","Violeta TONINI","ARG","1","1","","","",""
