"flex","font-normal","font-bold","flex 2","flex 3"
"131","javier","CANO BLAZQUEZ","ESP","12"
"134","lihao","YANG","CHN","11.5"
"134","otto","REITER","GER","11.5"
"136","dylan","PARKS","AUS","11"
"136","jair octavio","MORENO MONTOYA","MEX","11"
"136","johannes","HOFHERR","AUT","11"
"139","andy","BROWN","AUS","10"
"139","peter","KURIC","SVK","10"
"139","matteo","SOULE","FRA","10"
"142","aman","VERMA","IND","9"
"142","poksakon","CHOTIKKRAI","THA","9"
"142","muhammed oğuz","KAĞANOĞLU","TUR","9"
"142","renan","DENARDO","BRA","9"
"146","chi-fung","AU","HKG","8"
"147","luka","JERMAN","SLO","7.5"
"147","lucas","TRANDAFIR","GER","7.5"
"149","chuluunbaatar","MANDAKHBAYAR","MGL","7"
"149","nidhal","DAQNAH","KSA","7"
"149","christos","SOFOKLEOUS","CYP","7"
"149","seungchan","CHOI","KOR","7"
"149","edvards","GRUZITIS","LAT","7"
"149","emilio","FLORES","GUA","7"
"149","muhammad ramzi","FIRMANSYAH","INA","7"
"149","sean","MCCOLL","CAN","7"
"157","gianluca","VIGHETTI","ITA","6.7"
"158","stanley","AU","GUM","6"
"158","allen","LACTAOEN","GUM","6"
"158","mohammad","GARAKANI","IRI","6"
"158","ege","DUMAN","TUR","6"
"158","gergő","VÁLYI","HUN","6"
"158","filip","MATEJIČKA","SVK","6"
"158","yong kang","DYLAN SEOW","SGP","6"
"158","joseph","JOHNSON","RSA","6"
"158","yuanliang","MA","CHN","6"
"158","gerald","BAYO VEROSIL","SGP","6"
"168","samo","GOLOB","SLO","5"
"168","corentin","LAPORTE","BEL","5"
"168","elliot","ERIKSSON","SWE","5"
"168","jintao","LUO","CHN","5"
"168","shaked","SHACHAM","ISR","5"
"168","alireza","PILEHFOROUSHAN","IRI","5"
"174","luca","MALOSTI","ITA","4.5"
"175","raúl","ESCRIBANO SÁNCHEZ","ESP","4"
"175","gianstefano","DI NINO","VEN","4"
"175","yousef","FATANI","KSA","4"
"178","jakub","ZIETEK","POL","3.7"
"179","juan sebastian","SANCHEZ MARTIN","COL","3"
"179","joel","CODINA PINEDA","ESP","3"
"181","lau","MACIÀ LLOBET","ESP","2"
"181","gianfranco","DIAZ","VEN","2"
"181","matthaios","VALSAMIDIS","GRE","2"
"181","davi","CARVALHO PERES","BRA","2"
"181","hugo","DORVAL","CAN","2"
"181","mykyta","MYRONENKO","UKR","2"
"181","javier","PAREDES RAMOS","ESP","2"
"188","trym skuggen","LANDMARK","NOR","1"
"188","mateo","BOGANTES","CRC","1"
"188","rafael","GALINDO","VEN","1"
"188","slav","KIROV","BUL","1"
"188","gabriel","KERN","SWE","1"
"188","ardch","INTRACHUPONGSE","THA","1"
"188","francisco","MEDINA","ARG","1"
"188","tomas","CASAS","CRC","1"
