"rank","r-name","r-name-sub","score","detail-box","detail-box 2","detail-box 3","detail-box 4","detail-box 5","detail-box 6","detail-box 7","detail-box 8","detail-box 9","detail-box 10","detail-box 11","detail-box 12","detail-box 13","detail-box 14","detail-box 15","detail-box 16","detail-box 23","detail-box 24"
"17","Geila MACIÀ MARTÍN","ESP","1416","56","(",")","415","205","73","0","(",")","65","(",")","","","","455","83","185"
"18","Flora OBLASSER","AUT","1356","","","","280","170","495","","","","","","","","","","42","260","109"
"19","Zhilu LUO","CHN","1191.5","18","(",")","415","280","31.5","27","(",")","30","(",")","","","","280","185",""
"20","Sara COPAR","SLO","1149","205","(",")","240","60","129","157","(",")","20","(",")","48","(",")","130","350","240"
"21","Kyra CONDIE","USA","1081.83","68","(",")","151","270.83","280","109","(",")","240","(",")","205","(",")","380","",""
"22","Ayala KEREM","ISR","1037.5","233","(",")","337.5","5","99","","","","","","","","","","240","350","6"
"23","Adriene Akiko CLARK","USA","911","19","(",")","250","52","84","18","(",")","105","(",")","52","(",")","130","155","240"
"24","Katja DEBEVEC","SLO","890.33","185","(",")","27","280","270.83","120","(",")","155","(",")","","","","312.5","",""
"25","Mashiro KUZUU","JPN","882","","","","380","27","145","","","","","","","","","","170","130","30"
"26","Lucija TARKUS","SLO","860","37","(",")","145","112.5","95","39.5","(",")","11","(",")","46","(",")","137.5","130","240"
"27","Michaela SMETANOVA","CZE","728.5","30","(",")","68","84","185","24","(",")","73.33","(",")","73","(",")","11.5","380",""
"28","Zoe PEETERMANS","GBR","649.5","31.5","(",")","120","185","78.5","13.5","(",")","28","(",")","0","(",")","145","12","109"
