"flex","font-normal","font-bold","flex 2","flex 3"
"102","ella","FISHER","USA","56.2"
"103","abi","LANCE","AUS","56"
"104","vanessa si yinn","TENG","SGP","54"
"105","emily","SCOTT","AUS","53"
"106","valentine","MANGIN","FRA","50"
"107","maya","VÁSQUEZ","CHI","49"
"108","matilde","CABEZAS","CHI","45"
"109","laura","FARHAT DE ARAUJO FRAGA TIMO","BRA","44"
"109","maeve","BRADBURY","AUS","44"
"111","eilin","TAN","SGP","37.5"
"112","anja","KÖHLER","BRA","35"
"112","ting-chen","YAO","TPE","35"
"112","cheuk-kei","WONG","HKG","35"
"112","xinwen","ZHU","CHN","35"
"116","arina","JURCENKO","CZE","33.8"
"117","natalia de jesús","GONZÁLEZ","MEX","32"
"118","yael","TAUB","ISR","31.5"
"119","emilia","ANDERSSON","SWE","30"
"120","tamar","COHEN","ISR","26.1"
"121","margarita","AGAMBAYEVA","KAZ","26"
"121","xu","LITING","SGP","26"
"123","sandra","HOPFENSITZ","GER","25.5"
"123","heeju","NOH","KOR","25.5"
"123","johanna","FÄRBER","AUT","25.5"
"126","christel","KOTZE","AUS","25"
"127","florence","GRÜNEWALD","GER","24.7"
"128","miriam","FOGU","ITA","24.5"
"129","paloma","SLOWIK","USA","24"
"129","ada","KARLSBRUN","ISR","24"
"131","zoe","GARCIA MOLINA","ARG","23"
"131","julija","KRUDER","SLO","23"
"133","maría josé","ESTRADA","MEX","22.9"
"134","katya lynn","BROCKMAN","MEX","22"
"135","xuanzhen","CHEN","CHN","20"
"136","iris","HEIKKINEN","FIN","19.7"
"137","flavy","COHAUT","FRA","19.5"
"138","alma","SAPIR HALEVI","ISR","19"
"139","francesca","WALTHER","SUI","18.4"
"140","maya","MADERE","USA","17"
"140","jordyn","DAMASCO","AUS","17"
"140","yawen","MI","CHN","17"
"143","ka kei","CHU","MAC","16.7"
"144","rosa","ARNOLD","FIN","16.1"
"145","noé","LOOSER","SUI","16"
"146","marilu","SOMMER","SUI","15.3"
"147","pernille","TVEDT","NOR","15"
"147","melissa esther","CHEN CHEN","PER","15"
"147","miranda","MENDOZA BERTRAND","PER","15"
"150","tseng-shun","WONG","HKG","14"
"150","ana carolina","GUMURSKI DA ROCHA","BRA","14"
"152","lina","FUNA","SLO","13.5"
"153","yubin","HONG","KOR","13"
"153","tamara fatima","ORTIZ RUIZ","PER","13"
"155","deborah","ALBUQUERQUE","BRA","12"
"156","tahani","ALGOUHI","KSA","11.5"
"157","jiaxuan","YANG","CHN","11.3"
"157","svana","BJARNASON","ISL","11.3"
"157","lea","SLOBODOVÁ","SVK","11.3"
"157","sunniva eik","HAAVE","NOR","11.3"
"157","lucy","GARLICK","GBR","11.3"
"157","francesca","MATUELLA","ITA","11.3"
"163","bianka","JANECKA","POL","11"
"163","niamh","ALLDRED","AUS","11"
"163","emilia","CALLANAN","CAN","11"
"166","viktorie","KONECNA","CZE","10.7"
"166","astridt alexandra","VIDES ZERON","HON","10.7"
"166","camila","FLORES","BRA","10.7"
"166","antonieta esmeralda","PARRA VEIZAGA","BOL","10.7"
"170","pak chi","SOU","MAC","10.3"
"171","kylie","BAKER","GUM","9.7"
"171","shin yee","CHEN","MAS","9.7"
"171","tegwen","OATES","RSA","9.7"
"174","tsz kiu","TSUI","HKG","9.5"
"175","arantza","FERNÁNDEZ GUTIERREZ","MEX","9"
"175","daria","NESTERENKO","UKR","9"
"175","regina","SALAZAR PUGA","MEX","9"
"178","lena","SCHRITTWIESER","AUT","8"
"178","shareen","MOHD NASRAN","MAS","8"
"180","marketa","JANOSOVA","CZE","7.7"
"180","arta","CELITANE","LAT","7.7"
"182","lukka mörk","BLOMSTERBERG","ISL","7"
"182","yixin","LIU","CHN","7"
"182","yali","WEI","CHN","7"
"185","roxy","PERRY","AUS","6.5"
"186","louise","FLOCKHART","GBR","6"
"186","adela","KONARIKOVA","CZE","6"
"186","prateeksha","ARUN","IND","6"
"186","yun-shan","HSIEH","TPE","6"
"190","sofia","PARRADO","COL","5"
"190","tihana","PICOT","AUS","5"
"190","sui lin renee","TAN","MAS","5"
"190","ziqi elly","GAO","HKG","5"
"194","jil","COUTURE","SUI","4.5"
"194","anja","SANTINI MIKULIĆ","CRO","4.5"
"196","laura","LOIKAS","FIN","4.3"
"196","iris-olivia","MUNTEANU","ROU","4.3"
"198","ariane","JANATA-BURNS","RSA","4"
"199","katharina","BERGMANN","AUT","3.9"
"200","neza","ZAJC","SLO","3.3"
"201","ariane","FRANKEN","AUT","3"
"201","natalie","PAAROVA","CZE","3"
"203","si wan","LEI","MAC","2"
"203","anne","ACKRE","NOR","2"
"203","barbara","WÓJCIK","POL","2"
"203","sina","WILLY","AUT","2"
"203","sunniva","ØVRE-EIDE","NOR","2"
"203","agnes matthildur","FOLKMANN","ISL","2"
"203","mariam","DE LA VEGA","MEX","2"
"210","hei kiu heidi","WONG","HKG","1"
"211","melis","PEHLIVAN","TUR","0.7"
"211","danai","VALSAMIDI","GRE","0.7"
