ID;User_ID;Rank_2024_01;Person;net_worth_in_BillionUSD_2024_01;Age_of_person_2024_01;Date_of_data
185;184;185;Melker Schorling;10,7;76;2024-01-31
186;384;186;Melinda French Gates;10,6;59;2024-01-31
187;170;187;Viktor Rashnikov;10,5;75;2024-01-31
188;133;188;Lu Xiangyang;10,4;61;2024-01-31
189;138;189;Sarath Ratanavadi;10,3;58;2024-01-31
190;167;190;Carl Cook;10,3;61;2024-01-31
191;158;191;Judy Love;10,2;86;2024-01-31
192;187;192;Lei Jun;10,2;54;2024-01-31
193;143;193;Robert Kuok;10,1;100;2024-01-31
194;172;194;Georg Schaeffler;10,1;59;2024-01-31
195;144;195;Stephen Ross;10,1;83;2024-01-31
196;152;196;Anthony Pratt;10,1;63;2024-01-31
197;326;197;Marc Benioff;10,1;59;2024-01-31
198;197;198;Vincent Bollore;10,1;71;2024-01-31
199;201;199;Brian Chesky;10,0;42;2024-01-31
200;433;200;Antony Ressler;10,0;63;2024-01-31
201;178;201;Liu Yongxing;10,0;75;2024-01-31
202;194;202;Pamela Mars;10,0;63;2024-01-31
203;195;203;Valerie Mars;10,0;65;2024-01-31
204;193;204;Marijke Mars;10,0;59;2024-01-31
205;196;205;Victoria Mars;10,0;67;2024-01-31
206;206;206;John Malone;10,0;82;2024-01-31
207;204;207;Antonia Axson Johnson;9,9;80;2024-01-31
208;299;208;James Goodnight;9,9;81;2024-01-31
209;175;209;Quek Leng Chan;9,9;82;2024-01-31
210;620;210;Mangal Prabhat Lodha;9,9;68;2024-01-31
211;258;211;Bernard Marcus;9,9;94;2024-01-31
212;151;212;Viatcheslav Kantor;9,8;70;2024-01-31
213;232;213;Manuel Villar;9,8;74;2024-01-31
214;198;214;Jim Pattison;9,8;95;2024-01-31
215;118;215;Wei Jianjun;9,8;59;2024-01-31
216;181;216;Jacques Saade Jr;9,8;52;2024-01-31
217;183;217;Tanya Saade Zeenny;9,8;56;2024-01-31
218;182;218;Rodolphe Saade;9,8;53;2024-01-31
219;188;219;Friedhelm Loh;9,8;77;2024-01-31
220;112;220;Huang Shilin;9,8;57;2024-01-31
221;140;221;Jiang Rensheng;9,8;70;2024-01-31
222;202;222;James Dyson;9,7;76;2024-01-31
223;493;223;Elizabeth Johnson;9,7;60;2024-01-31
224;156;224;Gong Hongjia;9,7;59;2024-01-31
225;235;225;Ann Walton Kroenke;9,6;75;2024-01-31
226;147;226;Thomas Struengmann;9,6;73;2024-01-31
227;146;227;Andreas Struengmann;9,6;73;2024-01-31
228;265;228;Nancy Walton Laurie;9,6;72;2024-01-31
229;186;229;Michael Kim;9,6;60;2024-01-31
230;157;230;Zhang Zhidong;9,6;52;2024-01-31
231;256;231;Nathan Blecharczyk;9,5;40;2024-01-31
232;199;232;Ernesto Bertarelli;9,5;58;2024-01-31
233;329;233;Jack Dangermond;9,5;78;2024-01-31
234;228;234;Graeme Hart;9,5;68;2024-01-31
235;238;235;Nicky Oppenheimer;9,4;78;2024-01-31
236;185;236;Andrei Guryev;9,4;63;2024-01-31
237;253;237;Tilman Fertitta;9,4;66;2024-01-31
238;213;238;Anthony von Mandl;9,4;73;2024-01-31
239;208;239;Charles Schwab;9,4;86;2024-01-31
240;205;240;Daniel Kretinsky;9,3;48;2024-01-31
241;611;241;David Velez;9,3;42;2024-01-31
242;570;242;Yu Yong;9,3;62;2024-01-31
243;212;243;Alexander Otto;9,2;56;2024-01-31
244;260;244;Robert F. Smith;9,2;61;2024-01-31
245;272;245;Li Shuirong;9,2;67;2024-01-31
246;259;246;Patrick Ryan;9,1;86;2024-01-31
247;416;247;Sunil Mittal;9,1;66;2024-01-31
248;231;248;Carlos Alberto Sicupira;9,1;76;2024-01-31
249;412;249;Tom Gores;9,1;59;2024-01-31
250;251;250;Laurent Dassault;9,1;70;2024-01-31
251;252;251;Thierry Dassault;9,1;66;2024-01-31
252;336;252;Jude Reyes;9,0;68;2024-01-31
253;335;253;J. Christopher Reyes;9,0;70;2024-01-31
254;257;254;Leonid Fedun;9,0;67;2024-01-31
255;203;255;Roman Abramovich;9,0;57;2024-01-31
256;254;256;Marie-Helene Habert-Dassault;9,0;58;2024-01-31
257;267;257;Ramzi Musallam;9,0;55;2024-01-31
258;333;258;Rohiqa Cyrus Mistry;9,0;56;2024-01-31
259;334;259;Shapoor Mistry;9,0;59;2024-01-31
260;278;260;Marie Besnier Beauvalot;8,9;43;2024-01-31
261;277;261;Jean-Michel Besnier;8,9;56;2024-01-31
262;288;262;Joe Gebbia;8,9;42;2024-01-31
263;270;263;Georg Stumpf;8,9;51;2024-01-31
264;224;264;Carrie Perrodo;8,9;73;2024-01-31
265;241;265;John Morris;8,9;75;2024-01-31
266;226;266;Michael Otto;8,8;80;2024-01-31
267;117;267;Xu Hang;8,8;61;2024-01-31
268;304;268;Nassef Sawiris;8,7;63;2024-01-31
269;561;269;Jimmy Haslam;8,7;69;2024-01-31
270;455;270;Robert Rowling;8,7;70;2024-01-31
271;344;271;Sandra Ortega Mera;8,7;55;2024-01-31
272;263;272;Orlando Bravo;8,7;53;2024-01-31
273;309;273;Enrique Razon jr;8,7;63;2024-01-31
274;215;274;Finn Rausing;8,6;69;2024-01-31
275;216;275;Jorn Rausing;8,6;64;2024-01-31
276;217;276;Kirsten Rausing;8,6;71;2024-01-31
277;243;277;Francine von Finck;8,5;;2024-01-31
278;292;278;Joseph Tsai;8,5;60;2024-01-31
279;211;279;Ivan Glasenberg;8,4;67;2024-01-31
280;276;280;Zhang Congyuan;8,4;76;2024-01-31
281;268;281;David Shaw;8,3;72;2024-01-31
282;245;282;German Khan;8,3;62;2024-01-31
283;300;283;Sri Prakash Lohia;8,3;71;2024-01-31
284;575;284;Andre Esteves;8,2;55;2024-01-31
285;331;285;Ralph Lauren;8,2;84;2024-01-31
286;294;286;Arthur Blank;8,2;81;2024-01-31
287;687;287;Elisabeth DeLuca;8,2;76;2024-01-31
288;481;288;Mat Ishbia;8,2;44;2024-01-31
289;435;289;Josh Harris;8,2;59;2024-01-31
290;244;290;Francis Choi;8,2;76;2024-01-31
291;255;291;Karel Komarek;8,1;54;2024-01-31
292;291;292;Leonard Stern;8,1;85;2024-01-31
293;303;293;Steven Rales;8,1;72;2024-01-31
294;3012;294;Paul Tudor Jones II.;8,1;69;2024-01-31
295;359;295;Ken Fisher;8,1;73;2024-01-31
296;279;296;David Geffen;8,1;80;2024-01-31
297;452;297;Ken Langone;8,1;88;2024-01-31
298;262;298;Eric Wittouck;8,0;77;2024-01-31
299;338;299;Alejandro Bailleres Gual;8,0;63;2024-01-31
300;517;300;Rekha Jhunjhunwala;8,0;60;2024-01-31
301;375;301;Xu Shihui;7,9;66;2024-01-31
302;345;302;Ronda Stryker;7,9;69;2024-01-31
303;305;303;Harry Stine;7,9;82;2024-01-31
304;475;304;Sergio Stevanato;7,9;80;2024-01-31
305;271;305;Rocco Commisso;7,9;74;2024-01-31
306;306;306;Benu Gopal Bangur;7,9;92;2024-01-31
307;148;307;Liu Hanyuan;7,8;60;2024-01-31
308;261;308;Pavel Tykac;7,8;59;2024-01-31
309;284;309;Ivar Tollefsen;7,8;62;2024-01-31
310;421;310;Alain Bouchard;7,8;74;2024-01-31
311;465;311;Piero Ferrari;7,8;78;2024-01-31
312;380;312;Bruce Kovner;7,7;78;2024-01-31
313;332;313;Law Kar Po;7,7;75;2024-01-31
314;343;314;Igor Olenicoff;7,7;81;2024-01-31
315;286;315;Hasmukh Chudgar;7,7;90;2024-01-31
316;269;316;Andrei Skoch;7,7;58;2024-01-31
317;348;317;Denise Coates;7,7;56;2024-01-31
318;459;318;Micky Arison;7,7;74;2024-01-31
319;189;319;Sun Piaoyang;7,6;65;2024-01-31
320;295;320;Charles Butt;7,6;86;2024-01-31
321;390;321;Carl Bennet;7,6;72;2024-01-31
322;428;322;David Steward;7,6;72;2024-01-31
323;321;323;Tamara Gustavson;7,6;62;2024-01-31
324;405;324;Gustaf Douglas;7,6;85;2024-01-31
325;503;325;M.A. Yusuff Ali;7,6;68;2024-01-31
326;315;326;Richard Kinder;7,5;79;2024-01-31
327;323;327;Frederik Paulsen;7,5;73;2024-01-31
328;396;328;Luis Carlos Sarmiento;7,5;91;2024-01-31
329;313;329;Jeff Greene;7,5;69;2024-01-31
330;494;330;Douglas Leone;7,5;66;2024-01-31
331;568;331;Pankaj Patel;7,5;70;2024-01-31
332;340;332;Pauline MacMillan Keinath;7,4;90;2024-01-31
333;358;333;Randa Duncan Williams;7,4;62;2024-01-31
334;125;334;Chen Bang;7,4;58;2024-01-31
335;346;335;Dannine Avara;7,4;59;2024-01-31
336;350;336;Milane Frantz;7,4;54;2024-01-31
337;349;337;Scott Duncan;7,4;41;2024-01-31
338;439;338;John Brown;7,4;89;2024-01-31
339;314;339;Don Hankey;7,4;80;2024-01-31
340;706;340;Juergen Blickle;7,4;77;2024-01-31
341;364;341;Massimiliana Landini Aleotti;7,3;81;2024-01-31
342;695;342;Tobi Lutke;7,3;43;2024-01-31
343;311;343;Arthur Dantchik;7,3;66;2024-01-31
344;513;344;Charles Simonyi;7,3;75;2024-01-31
345;355;345;David Siegel;7,3;62;2024-01-31
346;354;346;John Overdeck;7,3;54;2024-01-31
347;548;347;Jonathan Gray;7,3;53;2024-01-31
