ID;User_ID;Table_rank_2024_03;Person;net_worth_in_BillionUSD_2024_03;Age_of_person_2024_03;Date_of_data
213;529;213;Alexander Gerko;10,2;44;2024-03-30
214;374;214;John Tu;10,2;82;2024-03-30
215;158;215;Judy Love;10,2;86;2024-03-30
216;372;216;David Sun;10,2;72;2024-03-30
217;138;217;Sarath Ratanavadi;10,2;58;2024-03-30
218;299;218;James Goodnight;10,1;81;2024-03-30
219;265;219;Nancy Walton Laurie;10,1;72;2024-03-30
220;140;220;Jiang Rensheng;10,1;70;2024-03-30
221;144;221;Stephen Ross;10,1;83;2024-03-30
222;344;222;Sandra Ortega Mera;10,1;55;2024-03-30
223;309;223;Enrique Razon jr;10,1;64;2024-03-30
224;620;224;Mangal Prabhat Lodha;10;68;2024-03-30
225;368;225;Xavier Niel;10;56;2024-03-30
226;235;226;Ann Walton Kroenke;10;75;2024-03-30
227;204;227;Antonia Axson Johnson;10;80;2024-03-30
228;178;228;Liu Yongxing;9,9;75;2024-03-30
229;470;229;Ludwig Merckle;9,9;59;2024-03-30
230;493;230;Elizabeth Johnson;9,9;60;2024-03-30
231;156;231;Gong Hongjia;9,8;59;2024-03-30
232;147;232;Thomas Struengmann;9,8;74;2024-03-30
233;146;233;Andreas Struengmann;9,8;74;2024-03-30
234;151;234;Viatcheslav Kantor;9,8;70;2024-03-30
235;206;235;John Malone;9,8;83;2024-03-30
236;203;236;Roman Abramovich;9,7;57;2024-03-30
237;186;237;Michael Kim;9,7;60;2024-03-30
238;305;238;Harry Stine;9,7;82;2024-03-30
239;568;239;Pankaj Patel;9,7;71;2024-03-30
240;288;240;Joe Gebbia;9,7;42;2024-03-30
241;196;241;Victoria Mars;9,6;67;2024-03-30
242;193;242;Marijke Mars;9,6;59;2024-03-30
243;195;243;Valerie Mars;9,6;65;2024-03-30
244;194;244;Pamela Mars;9,6;63;2024-03-30
245;189;245;Sun Piaoyang;9,6;65;2024-03-30
246;312;246;Terry Gou;9,6;73;2024-03-30
247;224;247;Carrie Perrodo;9,6;73;2024-03-30
248;241;248;John Morris;9,5;76;2024-03-30
249;360;249;Christopher Hohn;9,5;57;2024-03-30
250;251;250;Laurent Dassault;9,5;70;2024-03-30
251;254;251;Marie-Helene Habert-Dassault;9,5;58;2024-03-30
252;252;252;Thierry Dassault;9,5;67;2024-03-30
253;238;253;Nicky Oppenheimer;9,5;78;2024-03-30
254;253;254;Tilman Fertitta;9,4;66;2024-03-30
255;240;255;Zheng Shuliang;9,4;78;2024-03-30
256;388;256;Simon Reuben;9,4;82;2024-03-30
257;387;257;David Reuben;9,4;85;2024-03-30
258;416;258;Sunil Mittal;9,4;66;2024-03-30
