Business,2021_total,2022_total,2023_total
Aerospace,2.40,5.10,4.90
"Steel production",2.40,2.30,2.50
"Food processing",2.40,3.00,4.70
"medical testing",2.40,1.10,NULL
"health information",2.40,NULL,NULL
"payments processing",2.40,NULL,NULL
milk,2.40,NULL,NULL
"Poultry processing",2.30,3.20,3.80
Investment,2.30,3.20,3.20
"Drug distribution",2.30,2.50,2.80
"Plastic pipes",2.30,2.60,2.50
"Payment processing",2.30,1.60,2.10
"Online gaming",2.30,1.80,3.40
"Express delivery",2.30,1.50,1.70
Flipkart,2.30,2.60,2.70
"Paper manufacturing",2.30,1.50,1.20
"live streaming service",2.30,1.60,NULL
"Train cars",2.20,4.20,4.10
"Web hosting",2.20,3.40,3.40
"Sensor systems",2.20,3.40,4.60
"Precision machinery",2.20,1.70,2.30
"Consumer electronics",2.20,1.50,1.50
"Optical components",2.20,1.40,1.50
"Solar systems",2.20,NULL,1.10
"precious metals",2.20,1.40,1.90
"social network",2.20,1.20,NULL
"household appliances",2.20,NULL,NULL
"cloud technology",2.20,NULL,NULL
"mobile apps",2.20,NULL,NULL
"internet service",2.20,NULL,NULL
Cars,2.10,2.90,3.20
"Stock brokerage",2.10,3.50,3.10
"Scientific equipment",2.10,2.30,2.70
Dole,2.10,2.30,2.30
"Getty Oil",2.10,2.10,2.10
"Snack bars",2.10,2.20,2.10
"Metal processing",2.10,1.90,2.10
Security,2.10,2.20,2.00
"Retail stores",2.10,1.60,1.50
"Software firm",2.10,1.10,1.30
"health IT ",2.10,NULL,NULL
Titanium,2.00,1.50,4.40
"Live entertainment",2.00,2.30,2.90
Slim-Fast,2.00,2.00,2.50
"Clinical trials",2.00,2.10,2.10
"Greek yogurt",2.00,2.40,2.10
LinkedIn,2.00,2.10,1.90
"Home sales",2.00,2.10,1.80
"TV programs",2.00,1.80,1.80
FIAT,2.00,2.10,1.70
"Waffle House",2.00,2.00,1.70
"Real estate development",2.00,1.90,1.70
"Clinical diagnostics",2.00,1.30,1.40
Flooring,2.00,1.40,1.10
"Under Armour",2.00,1.50,1.10
"stock trading app",2.00,NULL,NULL
"Medical packaging",1.90,3.80,5.50
"Solar inverters",1.90,5.10,4.30
Tractors,1.90,2.50,2.50
"Herbal products",1.90,2.50,2.40
"Online dating",1.90,2.00,2.00
Motorhomes,1.90,1.90,1.70
Comcast,1.90,1.60,1.70
"Real estate services",1.90,1.70,1.70
Coking,1.90,1.80,1.70
DirecTV,1.90,1.80,1.60
Petroleum,1.90,2.00,1.50
