"person","id","gender","country_of_residence","net_worth_in_billionusd_2024_01","net_worth_in_billionusd_2024_02","net_worth_in_billionusd_2024_03","net_worth_in_billionusd_2024_04","net_worth_in_billionusd_2024_05","net_worth_in_billionusd_2024_06","net_worth_in_billionusd_2024_07","net_worth_in_billionusd_2024_08","net_worth_in_billionusd_2024_09","net_worth_in_billionusd_2024_10","net_worth_in_billionusd_2024_11","net_worth_in_billionusd_2024_12"
"Chris Ellison",2003,"male","Australia","1.00","1.10","1.20","1.20","1.20","1.00",NULL,NULL,NULL,NULL,NULL,NULL
"John Farber",2004,"male","USA","1.30","1.30",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"J. Christopher Flowers",2005,"male","USA","1.40","1.40","1.20","1.20","1.20","1.20","1.20","1.20","1.20","1.20","1.20","1.20"
"Reinold Geiger",2006,"male","Switzerland","2.20","2.60","3.20","3.30","3.30","3.40","3.40","3.40","3.40","3.40","3.40","3.40"
"Ali Ghodsi",2007,"male","USA","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40"
"Lance Gokongwei",2008,"male","Philippines","1.00","1.10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Guan Yihong",2009,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Rajinder Gupta",2010,"male","India","2.10","1.90","1.60","1.80","1.60","1.70","1.80","1.60","1.60","1.50","1.50","1.50"
"Torstein Hagen",2011,"male","Switzerland","1.40","1.50","1.50","1.50","7.20","7.80","8.20","7.70","8.00","9.00","10.60","10.10"
"Ayman Hariri",2012,"male","France","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40"
"Alfredo Harp Helu",2013,"male","Mexico","1.10","1.20","1.20","1.20","1.20","1.10","1.10","1.10","1.10","1.00","1.00","1.00"
"He Xiaopeng",2014,"male","China","1.40","1.60","1.30","1.40","1.40","1.30","1.40","1.40","2.10","2.00","2.10","2.10"
"Christoph Henkel",2015,"male","UK","1.50","1.70","1.80","1.80","1.80","1.80","1.80","1.90","1.90","1.80","1.80","1.80"
"Daniel Hirschfeld",2016,"male","USA","1.40","1.50","1.70","1.70","1.70","1.70","1.80","1.70","1.80","1.70","1.90","1.90"
"Drew Houston",2017,"male","USA","2.40","1.90","1.90","1.80","1.70","1.70","1.80","1.90","1.90","2.00","2.10","2.30"
"Huang Jinxiang",2018,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Rameshchandra Jain",2019,"male","India","1.70","1.70","1.70","1.70","1.70","1.70","1.70","1.70","1.70","1.70","1.70","1.70"
"Ke Zunhong",2020,"male","China","1.20","1.40","1.40","1.70","1.80","1.70","1.70","1.50","1.70","1.60","1.60","1.50"
"Kim Taek-jin",2021,"male","South Korea","1.10","1.10","1.10","1.00","1.10","1.00","1.00","1.10","1.10","1.10","1.10",NULL
"Koh Wee Meng",2022,"male","Singapore","1.60","1.60","1.50","1.50","1.50","1.50","1.50","1.60","1.70","1.60","1.60","1.50"
"Sergei Kolesnikov",2023,"male","Russia","1.20","1.40","1.40","1.40","1.40","1.40","1.40","1.50","1.40","1.40","1.40","1.40"
"Hemendra Kothari",2024,"male","India","1.40","1.60","1.60","1.60","1.60","1.60","1.60","1.60","1.60","1.60","1.60","1.50"
"Sebastian Kulczyk",2025,"male","Switzerland","1.60","1.60","1.60","1.50","1.60","1.50","1.60","1.60","1.60","1.60","1.50","1.50"
"Kwee Liong Keng",2026,"male","Singapore","1.40","1.40","1.60","1.60","1.60","1.60","1.60","1.60","1.70","1.60","1.60","1.60"
"Kwee Liong Phing",2027,"male","Singapore","1.40","1.40","1.60","1.60","1.60","1.60","1.60","1.60","1.70","1.60","1.60","1.60"
"Kwee Liong Seen",2028,"male","Singapore","1.40","1.40","1.60","1.60","1.60","1.60","1.60","1.60","1.70","1.60","1.60","1.60"
"Kwee Liong Tek",2029,"male","Singapore","1.40","1.40","1.60","1.60","1.60","1.60","1.60","1.60","1.70","1.60","1.60","1.60"
"Kwek Leng Keow",2030,"male","Singapore","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40"
"Kwek Leng Peck",2031,"male","Singapore","1.40","1.40","1.40","1.30","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40"
"Raymond Kwok",2032,"male","China","1.10","1.20","1.20","1.10","1.20","1.10","1.10","1.20","1.30","1.30","1.20","1.20"
"Lee Ho-jin",2033,"male","South Korea","1.50","1.40","1.50","1.50","1.50","1.50","1.40","1.50","1.50","1.50","1.40","1.40"
"Michael Lee-Chin",2034,"male","Canada","1.30","1.40","1.30","1.30","1.30","1.20","1.20","1.20","1.20","1.20","1.20","1.20"
"Manfredi Lefebvre d Ovidio",2035,"male","Italy","1.70","1.70","1.80","1.80","1.80","1.90","1.90","1.90","2.00","2.10","2.30","2.30"
"Bernard Lewis",2036,"male","UK","1.40","1.40","1.40","1.40","1.40","1.40","1.50","1.50","1.50","1.50","1.40","1.40"
"Li Jinyang",2037,"female","China","1.20","1.10","1.20","1.20","1.20","1.20","1.20","1.20","1.30","1.20","1.20","1.10"
"William Li",2038,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Jenny Linden Urnes",2039,"female","Sweden","1.40","1.40","1.60","1.60","1.60","1.60","1.60","1.70","1.70","1.60","1.60","1.60"
"Liu Fangyi",2040,"male","China","1.00","1.10","1.20","1.40","1.30","1.30","1.30","1.30","1.40","1.30","1.30","1.30"
"K.C. Liu",2041,"male","Taiwan","1.60","1.70","1.80","1.60","1.50","1.60","1.50","1.60","1.40","1.40","1.50","1.50"
"Liu Ming Chung",2042,"male","China","1.00","1.90","1.00","1.10","1.20","1.00",NULL,"1.00","1.20","1.10","1.00","1.00"
"Anatoly Lomakin",2043,"male","Russia","1.40","1.40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Brandt Louie",2044,"male","Canada","1.50","1.40","1.40","1.40","1.40","1.40","1.40","1.50","1.40","1.40","1.40","1.40"
"Lucia Maggi",2045,"female","Brazil","1.50","1.20","1.20","1.20","1.20","1.10","1.10","1.10","1.10","1.00","1.00",NULL
"Gary Magness",2046,"male","USA",NULL,NULL,"1.20","1.20","1.30","1.30","1.30","1.30","1.30","1.00","1.40","1.30"
"Mao Lixiang",2047,"male","China","1.30","1.00",NULL,NULL,NULL,NULL,NULL,"1.00","1.00","1.00",NULL,NULL
"David McMurtry",2048,"male","UK","1.30","1.60","1.60","1.50","1.50","1.40","1.40","1.40","1.50","1.20","1.20","1.30"
"Deepak Mehta",2049,"male","India","1.70","1.80","1.70","1.90","1.70","2.00","2.50","2.30","2.30","2.10","2.10","1.90"
"Miao Shouliang",2050,"male","China","1.40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Miao Yongjun",2051,"male","China","1.20","1.40","1.30","1.30","1.20","1.10",NULL,"1.00","1.20","1.10","1.10","1.00"
"Yoshiko Mori",2052,"female","Japan","1.70","1.70","1.80","1.80","2.00","2.00","2.20","2.50","2.50","2.40","2.10","2.00"
"Marius Nacht",2053,"male","Israel","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40"
"Tadako Nakatani",2054,"female","Japan","1.20","1.20","1.10","1.00","1.10","1.00","1.00","1.30","1.30","1.20","1.30","1.20"
"Vadim Novinsky",2055,"male","Ukraine","1.40","1.40","1.20","1.20","1.20","1.20","1.20","1.20","1.20","1.20","1.20","1.20"
"Niti Osathanugrah",2056,"male","Thailand","1.10","1.10","1.10","1.10","1.10","1.00","1.10","1.10","1.30","1.10","1.10","1.00"
"Pan Longquan",2057,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Pan Shiyi",2058,"male","China","1.20","1.20","1.20","1.20","1.20","1.20","1.20","1.20","1.20","1.20","1.20","1.20"
"David Paul",2059,"male","USA","1.40","1.40","1.40","1.30","1.70","1.70","1.80","1.80","1.80","1.90","2.10","2.10"
"Tom Persson",2060,"male","Sweden","1.50","1.50","1.80","1.80","1.90","1.70","1.70","1.70","1.90","1.00","1.50","1.50"
"Qian Jinghong",2061,"female","China","1.00","1.10","1.10","1.30","1.10",NULL,NULL,NULL,"1.20","1.20","1.10","1.10"
"Qin Long",2062,"male","China","1.20","1.40","1.40","1.60","1.50","1.40","1.30","1.40","1.70","1.70","1.50","1.50"
"M.Satyanarayana Reddy",2063,"male","India","1.40","2.00","2.00","2.00","2.00","2.00","1.90","1.90","1.90","1.90","1.90","1.90"
"Mochtar Riady",2064,"male","Indonesia","1.40","1.40","1.40","1.30","1.30","1.30","1.30","1.40","1.70","2.10","2.10","2.00"
"Rihanna",2065,"female","Barbados","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40"
"Boris Rotenberg",2066,"male","Russia","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40"
"Subhash Runwal",2067,"male","India","1.40","1.40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Igor Rybakov",2068,"male","Russia","1.20","1.40","1.40","1.40","1.40","1.40","1.40","1.50","1.40","1.40","1.40","1.40"
"Carlos Sanchez",2069,"male","Brazil","1.50","1.70","1.70","1.70","1.70","1.60","1.50","1.50","1.60","1.50","1.50","1.40"
"Martin Selig",2070,"male","USA","1.40","1.40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Airat Shaimiev",2071,"male","Russia","2.30","2.30","2.40","2.40","2.40","2.40","2.40","2.50","2.40","2.40","2.40","2.40"
"Radik Shaimiev",2072,"male","Russia","2.10","2.10","2.20","2.20","2.20","2.20","2.20","2.30","2.20","2.20","2.20","2.20"
"Nobutoshi Shimamura",2073,"male","Japan","1.60","1.50","1.60","1.40","1.40","1.30","1.40","1.50","1.60","1.50","1.60","1.60"
"Jared Smith",2074,"male","USA","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40"
"Charlotte Soderstrom",2075,"female","Sweden","1.50","1.50","1.80","1.70","1.90","1.70","1.70","1.70","1.90","1.00","1.50","1.50"
"Anand Surana",2076,"male","India","1.20","1.20","1.20","1.20","1.20","1.20","1.20","1.20","1.20","1.20","1.20","1.10"
"Dilip Surana",2077,"male","India","1.20","1.20","1.20","1.20","1.20","1.20","1.20","1.20","1.20","1.20","1.20","1.10"
"Wilma Tisch",2078,"female","USA","1.70","1.80","1.80","1.80","1.80","1.80","1.80","1.80","1.80","1.80","1.90","1.90"
"Jianyi Wang",2079,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Wang Jilei",2080,"male","China","1.10","1.10","1.20","1.20","1.30","1.20","1.10","1.20","1.40","1.30","1.10","1.20"
"Shuifu Wang",2081,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Wang Zelong",2082,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Werner O. Weber",2083,"male","Switzerland","1.40","1.20","1.20","1.10","1.10","1.10",NULL,"1.00","1.10",NULL,NULL,NULL
"Anne Werninghaus",2084,"female","Brazil","1.20","1.20","1.20","1.20","1.20","1.10","1.20","1.20","1.30","1.20","1.20","1.10"
"Alfred West jr",2085,"male","USA","1.50","1.50","1.60","1.50","1.60","1.50","1.60","1.60","1.60","1.70","1.80","1.80"
"Bo Wu",2086,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Wu Chaoqun",2087,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Swift Xie",2088,"male","China","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40"
